iter	RMSE
0	11.31319641
1	10.12681957
2	9.750125492
3	9.405141742
4	9.063428053
5	8.727404973
6	8.400390345
7	8.079149347
8	8.366427395
9	8.077326038
10	7.769818121
11	7.495408448
12	7.233477986
13	6.956346025
14	6.701693631
15	6.448014178
16	6.226257173
17	5.99574869
18	5.800422621
19	5.610678146
20	5.43712149
21	5.256791816
22	5.089585666
23	4.920777527
24	4.781684751
25	4.631730915
26	4.477856218
27	4.322245283
28	4.187500022
29	4.055381871
30	3.913013433
31	3.783953951
32	3.678590138
33	3.567878424
34	3.465371318
35	3.367660753
36	3.279074595
37	3.182518649
38	3.097222981339	3.00721004040	2.934925354141	2.849620504242	2.775476948
43	2.694630348
44	2.624365401
45	2.557219463
46	2.500771904
47	2.43104623
48	2.364831874949	2.318350384
50	2.26224128551	2.210178483
52	2.160913486
53	2.123431298554	2.07271649355	1.969446104
56	1.983289151
57	1.935808421
58	1.897433188
59	1.86207111
60	1.821732407
61	1.788974213
62	1.749582631
63	1.7133868
64	1.683520896
65	1.648556829
66	1.630656572
67	1.609648041
68	1.583770575
69	1.572582601
70	1.561523458
71	1.537477486
72	1.514486878
73	1.487839876
74	1.465274907
75	1.454517868
76	1.428310482
77	1.402732484
78	1.389340509
79	1.367614379
8080	1.346476118181	1.33524918282	1.325974215
83	1.305267544
84	1.288739286
85	1.273517516
86	1.261142892
87	1.248327198
88	1.241257157
89	1.230191758
90	1.220998398
91	1.209096277
92	1.200377305
93	1.193060121
94	1.17898621
95	1.162260128996	1.15665938
97	1.146997498
98	1.137323799
99	1.125406643
100	1.114440709
101	1.103972317
102	1.096324426
103	1.088907823
104	1.075158462
105	1.056933373
106	1.048956469
107	1.042836412
108	1.037563859
109	1.027501019
110	1.021138115
111	1.014900918
112	1.007875245
113	0.9997601531
114	0.9850396489
115	0.9785574353
116	0.971289681
117	0.9659173672
118	0.9611346855
119	0.9561979844
120	0.951120922
121	0.944441057
122	0.9334635409
123	0.9288770723
124	0.9220543625
125	0.9098862408
126	0.9053907442
127	0.8987165346
128	0.8944107746
129	0.8825196431
130	0.8772089291
131	0.8680370529
132	0.8637263779
133	0.8597849193
134	0.855595153
135	0.850031675
136	0.8453587909
137	0.8414892243
138	0.8368488588
139	0.8331929048
140	0.8220780119
141	0.8178785042
142	0.8138083202
143	0.8045375307
144	0.7997664659
145	0.7890796206
146	0.778145503
147	0.7745232685
148	0.7702150075
149	0.7671099687
150	0.7640463838
151	0.7608508686
152	0.7504431746
153	0.7407574571
154	0.7376454402
155	0.7270306354
156	0.7192667687
157	0.7163139564
158	0.7070093357
159	0.7040170075
160	0.6961487402
161	0.6932834688
162	0.6848190551
163	0.6812940783
164	0.6788691376
165	0.6706975861
166	0.666928348
167	0.6643191653
168	0.6611107926
169	0.652250824
170	0.6455639574
171	0.6373448164
172	0.6350855746
173	0.6315533387
174	0.6280774616
175	0.6214304878
176	0.6184052697
177	0.6115302755
178	0.6084104012
179	0.6063655309
180	0.6044450008
181	0.6026096131
182	0.5961853507
183	0.5935139339
184	0.5861190331
185	0.5843187905
186	0.5822994705
187	0.5766234628
188	0.5712922047
189	0.5696369561
190	0.5670917926
191	0.5655079637
192	0.5603276864
193	0.5558457208
194	0.5543573593
195	0.5503353588
196	0.5485329147
197	0.5451952684
198	0.5438283265
199	0.5424531563
200	0.5411622014
201	0.5396127467
202	0.5382011959
203	0.5344875077
204	0.5326546898
205	0.5278872059
206	0.5262428857
207	0.519520931
208	0.515131576
209	0.5141556255
210	0.5126415102
211	0.5112366985
212	0.507113817
213	0.5056370564
214	0.5005601508
215	0.4992774801
216	0.4971012547
217	0.4929672164
218	0.4916508852
219	0.4884120848
220	0.4871550001
221	0.4859919166
222	0.4837381701
223	0.4825289812
224	0.4816467026
225	0.4764209793
226	0.475580127
227	0.4717530668
228	0.4708128061
229	0.4665168052
230	0.4656862073
231	0.4649807125
232	0.4617973905
233	0.4588518163
234	0.4582005605
235	0.4543206416
236	0.4480996361
237	0.444222121
238	0.4436222701
239	0.4424159501
240	0.4409638815
241	0.440332661
242	0.4371961037
243	0.4338616888
244	0.4327832158
245	0.4292706486
246	0.4269928968
247	0.4251210266
248	0.4245662716
249	0.4240254246
250	0.4234981405
251	0.4182434822
252	0.4163202986
253	0.4146333239
254	0.4141391347
255	0.410070938
256	0.4094708697
257	0.4057474964
258	0.4018459897
259	0.3978026507
260	0.3973393306
261	0.3962625161
262	0.3957300734
263	0.3935492496
264	0.3907738144
265	0.3883436239
266	0.3840778869
267	0.3810250913
268	0.3793106884
269	0.3788177306
270	0.3751355184
271	0.3746750877
272	0.3712190726
273	0.3691324967
274	0.3687880864
275	0.3678008933
276	0.3647921761
277	0.3631705707
278	0.3594860427
279	0.3551247408
280	0.3540118055
281	0.353573603
282	0.3505496241
283	0.350164171
284	0.3497909455
285	0.3494136861
286	0.346566179
287	0.3455621596
288	0.3436005677
289	0.3411654579
290	0.3383190303
291	0.3363944841
292	0.3360729182
293	0.3330513833
294	0.3301695298
295	0.3273257469
296	0.3255934767
297	0.3225383624
298	0.3194852069
299	0.3183648566
300	0.3170062647
301	0.3141331355
302	0.3112705841
303	0.3088164979
304	0.305807267
