iter	Passed	Remaining
0	142	71031
1	144	35887
2	146	24324
3	150	18627
4	152	15122
5	155	12807
6	157	11127
7	159	9837
8	164	8984
9	175	8622
10	181	8053
11	188	7679
12	193	7247
13	198	6883
14	202	6557
15	207	6268
16	214	6092
17	227	6089
18	233	5922
19	240	5781
20	244	5588
21	253	5512
22	265	5496
23	268	5325
24	273	5195
25	276	5043
26	281	4926
27	284	4791
28	292	4743
29	297	4659
30	303	4590
31	307	4499
32	316	4475
33	323	4435
34	328	4370
35	332	4281
36	340	4258
37	341	4157
38	343	4059
39	344	3965
40	360	4031
41	364	3970
42	372	3955
43	377	3910
44	383	3879
45	386	3814
46	391	3775
47	393	3706
48	396	3644
49	404	3642
50	407	3589
51	413	3563
52	416	3513
53	419	3461
54	422	3417
55	426	3378
56	435	3383
57	440	3359
58	447	3343
59	452	3315
60	456	3287
61	461	3258
62	464	3222
63	468	3188
64	472	3165
65	475	3125
66	478	3094
67	482	3067
68	485	3031
69	486	2987
70	487	2942
71	490	2915
72	495	2901
73	500	2879
74	503	2851
75	505	2818
76	508	2795
77	510	2762
78	513	2734
79	515	2706
80	517	2676
81	520	2652
82	523	2632
83	527	2610
84	532	2597
85	537	2586
86	540	2565
87	543	2543
88	545	2520
89	548	2499
90	551	2479
91	553	2456
92	556	2435
93	561	2426
94	567	2421
95	569	2397
96	573	2381
97	578	2371
98	586	2374
99	591	2364
100	595	2353
101	602	2351
102	605	2334
103	609	2320
104	612	2302
105	618	2299
106	622	2286
107	635	2307
108	643	2307
109	649	2303
110	658	2306
111	663	2299
112	668	2287
113	670	2271
114	676	2263
115	679	2248
116	685	2242
117	688	2227
118	689	2208
119	693	2195
120	696	2181
121	698	2165
122	702	2154
123	705	2140
124	708	2124
125	711	2110
126	713	2095
127	716	2083
128	718	2067
129	721	2054
130	729	2055
131	735	2051
132	739	2039
133	742	2028
134	746	2019
135	750	2009
136	756	2005
137	761	1997
138	767	1993
139	772	1986
140	778	1981
141	780	1968
142	784	1959
143	788	1948
144	788	1931
145	791	1919
146	794	1908
147	797	1896
148	799	1884
149	802	1872
150	805	1862
151	808	1850
152	813	1845
153	816	1834
154	820	1825
155	823	1814
156	825	1804
157	829	1795
158	837	1796
159	843	1792
160	848	1786
161	851	1777
162	857	1772
163	860	1763
164	869	1765
165	875	1761
166	878	1750
167	882	1744
168	886	1736
169	892	1732
170	894	1720
171	898	1712
172	901	1703
173	905	1696
174	907	1686
175	913	1681
176	917	1673
177	921	1667
178	925	1659
179	930	1653
180	935	1648
181	941	1644
182	943	1634
183	947	1627
184	951	1620
185	956	1615
186	964	1613
187	970	1609
188	972	1600
189	975	1591
190	977	1582
191	980	1572
192	985	1567
193	988	1558
194	992	1551
195	993	1540
196	997	1534
197	999	1524
198	1004	1519
199	1007	1510
200	1011	1504
201	1013	1495
202	1016	1487
203	1021	1481
204	1025	1475
205	1033	1474
206	1039	1470
207	1043	1464
208	1049	1460
209	1053	1454
210	1056	1446
211	1062	1442
212	1073	1446
213	1081	1445
214	1086	1440
215	1091	1435
216	1095	1429
217	1103	1427
218	1112	1426
219	1116	1421
220	1126	1422
221	1131	1416
222	1139	1415
223	1144	1410
224	1146	1401
225	1153	1398
226	1153	1387
227	1160	1384
228	1168	1382
229	1173	1377
230	1184	1378
231	1188	1372
232	1194	1369
233	1198	1362
234	1206	1360
235	1209	1352
236	1212	1345
237	1216	1339
238	1220	1333
239	1224	1326
240	1228	1320
241	1232	1314
242	1235	1307
243	1243	1304
244	1246	1297
245	1250	1291
246	1253	1284
247	1261	1281
248	1268	1278
249	1275	1275
250	1278	1268
251	1283	1262
252	1288	1257
253	1293	1252
254	1299	1248
255	1304	1243
256	1313	1242
257	1317	1235
258	1323	1231
259	1329	1227
260	1335	1223
261	1337	1215
262	1341	1208
263	1345	1202
264	1347	1195
265	1350	1187
266	1352	1180
267	1354	1172
268	1357	1165
269	1360	1159
270	1364	1152
271	1367	1145
272	1370	1139
273	1374	1133
274	1378	1127
275	1381	1120
276	1384	1114
277	1387	1108
278	1391	1102
279	1394	1095
280	1398	1089
281	1400	1082
282	1403	1076
283	1406	1069
284	1408	1062
285	1412	1056
286	1415	1050
287	1420	1045
288	1425	1040
289	1429	1035
290	1433	1029
291	1437	1024
292	1442	1019
293	1446	1013
294	1452	1009
295	1455	1003
296	1461	998
297	1466	994
298	1473	990
299	1475	983
300	1484	981
301	1487	975
302	1491	969
303	1497	965
304	1502	960
305	1504	953
306	1508	948
307	1512	943
308	1520	939
309	1523	933
310	1527	928
311	1535	925
312	1539	919
313	1544	914
314	1547	908
315	1550	902
316	1554	897
317	1557	891
318	1562	886
319	1565	880
320	1572	876
321	1579	873
322	1586	869
323	1591	864
324	1594	858
325	1599	853
326	1602	847
327	1607	843
328	1613	838
329	1618	833
330	1624	829
331	1627	823
332	1630	817
333	1633	811
334	1636	805
335	1639	800
336	1642	794
337	1646	789
338	1651	784
339	1657	779
340	1660	774
341	1665	769
342	1669	764
343	1674	759
344	1678	753
345	1681	748
346	1687	744
347	1693	739
348	1699	735
349	1703	730
350	1708	725
351	1710	719
352	1716	714
353	1719	709
354	1724	704
355	1727	698
356	1733	694
357	1737	689
358	1741	684
359	1749	680
360	1753	675
361	1761	671
362	1763	665
363	1768	660
364	1776	656
365	1781	652
366	1784	646
367	1789	641
368	1794	637
369	1798	632
370	1802	626
371	1805	621
372	1809	616
373	1811	610
374	1816	605
375	1820	600
376	1824	595
377	1827	589
378	1833	585
379	1840	581
380	1844	576
381	1851	571
382	1857	567
383	1859	561
384	1864	556
385	1868	551
386	1873	547
387	1876	541
388	1882	537
389	1888	532
390	1893	527
391	1896	522
392	1899	517
393	1905	512
394	1909	507
395	1913	502
396	1918	497
397	1922	492
398	1926	487
399	1928	482
400	1933	477
401	1938	472
402	1942	467
403	1948	462
404	1953	458
405	1959	453
406	1962	448
407	1965	443
408	1970	438
409	1973	433
410	1978	428
411	1983	423
412	1989	418
413	1995	414
414	1997	409
415	2000	404
416	2003	398
417	2005	393
418	2007	388
419	2009	382
420	2012	377
421	2014	372
422	2016	367
