player_name,player_slug,consistency_score,floor,ceiling,avg_fp,median_fp,std_fp,coef_variation,iqr_ratio,games_played,optimized_ma_fp,optimized_ma_points,optimized_ma_rebounds,optimized_ma_assists,injury_risk_score,games_played_count,is_contender,team,recent_form_zscore,consistency_premium,age_factor,usage_proxy,upside_ratio,floor_reliability,projected_fp,proj_p10,proj_p25,proj_p50,proj_p75,proj_p90,upside,downside,risk_reward_ratio,projection_range,adjusted_projection,vorp,scarcity_adjusted_value,draft_score,overall_rank
Nikola Jokić,jokicni01,44.63174234004668,47.0,86.1,66.87142857142857,66.0,14.519859728338021,0.21713099358762264,0.23484848484848486,70.0,52.41246126329831,36.838576094189996,2.880719151778867,6.646365396597252,5.8525574496930775,70,True,Team.DENVER_NUGGETS,-0.931642911806048,3.153271109478305,1.0,46.36566064256612,1.2685750368343507,0.6924857924647443,68.5187707678791,31.1192,52.11287,66.561195,66.87214,66.86797,0.30677795,35.441994,0.008418254,35.74877,66.51372055637229,50.83352930072201,44.22033390449849,58.84870212921016,1
Shai Gilgeous-Alexander,gilgesh01,38.78415506046506,43.0,72.5,56.26315789473684,55.0,11.237119434516817,0.19972429303631387,0.2727272727272727,76.0,56.9852385176659,37.845143323674215,0.5143234003238066,7.189797737254493,5.588911225981516,76,True,Team.OKLAHOMA_CITY_THUNDER,0.05900740176583619,3.336399561976254,1.0,45.54926446125251,1.2660845588235294,0.7509191176470588,57.56468945787893,31.389805,46.067616,56.22149,56.242737,56.32593,0.1044426,24.831684,0.0040431973,24.936127,55.95606976222253,40.275878506572255,33.66268311034874,50.623945469213325,2
Giannis Antetokounmpo,antetgi01,39.79967613402436,43.800000000000004,73.4,58.23880597014925,57.0,12.298634255251352,0.21117593416243993,0.22807017543859648,67.0,59.21789622030923,28.880116447988964,3.6500337528198386,7.094977049585256,21.15802460535499,67,True,Team.MILWAUKEE_BUCKS,0.07362336848788477,3.2136161258472526,1.0,39.62512725039406,1.2390526581002772,0.7393801965230538,57.64555394988598,29.99524,47.61367,55.530827,57.33206,56.461,0.93017197,25.535587,0.035053756,26.46576,51.54722370558095,35.86703244993067,29.253837053707148,48.79719042764767,3
Luka Dončić,doncilu01,35.92654689526042,37.8,71.20000000000002,54.68,54.0,13.767265523697871,0.25177881352775916,0.3333333333333333,100.0,71.12847207374352,30.855178953945618,0.331865418764152,11.2583493209745,7.377661425116748,100,True,Team.LOS_ANGELES_LAKERS,1.1138468423519388,2.8426953572662756,1.0,42.44539369368427,1.2787356321839083,0.6788793103448275,55.84998320245741,31.629229,46.464417,54.67447,54.806847,55.898746,1.2242775,23.04524,0.050915584,24.269518,53.78977186912647,38.10958061347619,31.49638521725267,47.49449250329844,4
Cade Cunningham,cunnica01,34.74388063273126,37.9,67.0,51.34285714285714,51.0,11.487739693486535,0.22374562563830203,0.3382352941176471,70.0,64.45151692891956,31.732299090497637,2.4259025330332062,7.42841182128271,5.365248705490657,70,True,Team.DETROIT_PISTONS,1.0497223763320234,3.088844823859424,1.0,41.58661344481356,1.2800218340611353,0.7240720524017468,52.388376148355846,31.55514,45.02108,51.701042,51.806698,53.97512,2.2740784,20.145903,0.10754227,22.419981,50.98299281179222,35.302801556141944,28.689606159918423,45.669393625501264,5
Jayson Tatum,tatumja01,33.22351808778379,36.0,62.9,49.30555555555556,51.0,11.146298449969947,0.22606577137967215,0.24509803921568626,72.0,50.54256790777621,24.87274514500828,0.2022873524888934,5.716034539800243,5.9066986821243095,72,True,Team.BOSTON_CELTICS,0.10184274306414011,3.0668659141029444,1.0,30.79106703729742,1.2503589177250138,0.7156267255659856,50.22379537735513,31.400019,47.687798,49.29238,49.31786,49.33815,0.045768738,17.892363,0.0024226054,17.938131,48.74051124752161,33.06031999187133,26.44712459564781,43.61417660260074,6
LeBron James,jamesle01,33.25869686106387,35.9,63.0,49.614285714285714,49.0,11.592229980394944,0.23364701947240024,0.3469387755102041,70.0,45.687909362366184,14.766319124248115,0.028055914995261833,12.527100738939868,4.873874161296918,70,True,Team.LOS_ANGELES_LAKERS,-0.3118094537689171,2.9971794790234036,1.0,27.321475778183245,1.2447078746824725,0.7092859158904883,49.66132889902897,31.507444,47.89888,49.25853,48.725296,48.530037,-0.72849274,17.751085,-0.0388507,17.022593,48.451113560345746,32.77092230469547,26.157726908471947,43.452324130416635,7
James Harden,hardeja01,31.463039531392603,32.8,65.0,48.22784810126582,49.0,12.454422596201516,0.2582413084251758,0.35714285714285715,79.0,46.576099482551875,18.47580911721941,-0.31161646213067973,5.452791526185335,6.48884161641359,79,True,Team.LOS_ANGELES_CLIPPERS,-0.12276622106252787,2.791414547909026,1.0,23.616984181274063,1.3203908459758293,0.6662895345847262,49.08132107313004,31.097044,42.894165,48.21533,48.27859,48.82722,0.6118927,17.118284,0.03377211,17.730177,47.48891647929062,31.808725223640344,25.195529827416824,41.730538604016246,8
Trae Young,youngtr01,32.25134387049886,33.0,65.0,49.88157894736842,51.0,12.947228015926763,0.25955930604337485,0.3431372549019608,76.0,53.48888677661019,23.510182049923813,-0.28661976583797577,16.168955003907623,4.644592104595707,76,False,Team.ATLANTA_HAWKS,0.2586397687857741,2.7811823618309206,1.0,39.39251728799346,1.2774760796483062,0.6485647788983708,50.61528181714675,31.38825,44.754677,49.874622,49.951923,50.514523,0.6399002,18.486372,0.032838345,19.126272,49.439845125647714,33.759653869997436,27.146458473773915,38.94555943777484,9
Anthony Edwards,edwaran01,29.43458136549107,31.0,59.2,44.58227848101266,45.0,10.782789375076305,0.24186268047445433,0.3333333333333333,79.0,41.12563657265155,34.33623772454738,-0.9799924897439105,2.949354798123635,5.98800859768517,79,True,Team.MINNESOTA_TIMBERWOLVES,-0.29336363388390974,2.9251511121721427,1.0,36.3056000329271,1.2987503471257984,0.6800888642043876,45.29452725387961,30.892368,43.180706,44.585278,44.582558,44.639828,0.05455017,13.692909,0.003712687,13.747459,43.938407160758025,28.258215905107747,21.645020508884226,38.849556889527655,10
Karl-Anthony Towns,townska01,29.14149543981433,29.0,60.9,45.75,44.0,12.167522800928344,0.2659567825339529,0.4147727272727273,72.0,39.628887687394986,23.729145847392733,3.776155697345346,3.6274227928760423,7.254397798412096,72,True,Team.NEW_YORK_KNICKS,-0.46486437921136237,2.7325630995983015,1.0,31.13272433761412,1.302673796791444,0.6203208556149733,46.58116852825091,31.008154,43.25994,45.75888,45.808388,46.81708,1.0582008,14.750727,0.067184255,15.808928,44.89157689615688,29.2113856405066,22.598190244283078,38.83764893402388,11
Anthony Davis,davisan02,31.777788037874004,31.0,67.0,51.11764705882353,54.0,15.40517745768881,0.3013671079179629,0.4074074074074074,102.0,74.02772352964095,34.228239600531,3.2742042618814287,2.9637290594148133,9.253285716875459,102,False,Team.DALLAS_MAVERICKS,1.3965150044798746,2.491484678919913,1.0,40.466172921827244,1.2855530474040633,0.5948081264108352,52.110584443007184,30.577684,47.21121,51.125595,51.150097,51.239613,0.11401749,20.54791,0.005291348,20.661928,49.69961380938463,34.01942255373435,27.40622715751083,38.55398615025179,12
Tyrese Haliburton,halibty01,28.329460458343632,28.0,60.8,45.273972602739725,47.0,13.53762921513116,0.29901571337506044,0.3829787234042553,73.0,56.304801212628824,18.653719113970602,-0.0552291350894446,13.366205532458919,5.891804964250074,73,True,Team.INDIANA_PACERS,0.7587776828430809,2.506166966562632,1.0,31.96469551134008,1.3139135583185317,0.6050917702782712,45.9954792404191,31.418783,44.678024,45.274364,45.27396,45.786945,0.5125809,13.855581,0.03450426,14.368162,44.64049727581029,28.96030602016001,22.34711062393649,38.240041114178645,13
Alperen Şengün,sengual01,27.825449158847942,29.5,56.0,42.39473684210526,43.0,11.109596311023449,0.2620513096330795,0.37790697674418605,76.0,28.510384834874102,23.16425327734194,4.570968919411775,3.4580817572837526,9.38852753950977,76,True,Team.HOUSTON_ROCKETS,-1.1465577919052625,2.762039449638917,1.0,31.193303954037468,1.29047907822923,0.679805942995755,43.01271598972613,30.330572,42.62909,42.404587,42.39537,42.95969,0.5551033,12.074015,0.04245852,12.629118,40.99358564663285,25.313394390982573,18.700198994759052,36.48164894951935,14
Jalen Brunson,brunsja01,28.539586771535497,29.4,57.2,44.10769230769231,43.0,11.67129691155328,0.26460910333134396,0.4186046511627907,65.0,53.29286217530447,32.22469961966139,0.8820464394216813,8.820605470398887,21.92409367270328,65,True,Team.NEW_YORK_KNICKS,0.7248800128136385,2.7426632820279173,1.0,41.92735152948196,1.2680763983628922,0.6517735334242837,44.726402819584806,30.139988,42.148216,44.111206,44.10776,44.558594,0.4473877,13.971218,0.029883185,14.418606,39.82347359428662,24.14328233863634,17.53008694241282,36.071293470034156,15
Domantas Sabonis,sabondo01,30.76980449996512,34.0,57.0,45.357142857142854,46.5,10.54383464303153,0.23246249606683692,0.25268817204301075,70.0,111.22210282121723,26.505213074413014,5.547684097040744,2.723858454083114,9.691649129628338,70,False,Team.SACRAMENTO_KINGS,5.705639590379438,3.0078580646851787,1.0,34.77675562553687,1.2295839753466873,0.7334360554699538,46.070428094710905,30.81947,45.366844,45.352654,45.341602,45.356186,0.0035324097,14.533184,0.00022741054,14.536716,43.83793597298236,28.15774471733208,21.54454932110856,36.052413869656675,16
